FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
A,Annual,ABW,Aruba,IMF_WEO_PCPIPCH,"Inflation, average consumer prices, Percent change",PC,Percentage change,IMF_WEO,World Economic Outlook (WEO),0,Units,A,Normal value,PU,Public,,,,,,,,3.639,3.121,3.989,5.838,5.553,3.87,5.219,6.284,3.413,3.169,3.006,1.865,2.274,4.074,2.884,3.316,3.655,2.53,3.397,3.61,5.39,8.957,-2.137,2.078,4.375,0.572,-2.372,0.421,0.475,-0.932,-1.028,3.626,3.939,-1.313,0.744,5.52,,,,,,,
A,Annual,ABW,Aruba,IMF_WEO_PCPIPCH,"Inflation, average consumer prices, Percent change",PC,Percentage change,IMF_WEO,World Economic Outlook (WEO),0,Units,F,Forecast value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.366,2.345,1.815,1.914,1.998,1.998,1.998
A,Annual,AFG,Afghanistan,IMF_WEO_PCPIPCH,"Inflation, average consumer prices, Percent change",PC,Percentage change,IMF_WEO,World Economic Outlook (WEO),0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,35.663,16.358,10.569,6.785,8.681,26.419,-6.811,2.179,11.804,6.441,7.386,4.674,-0.662,4.384,4.976,0.626,2.302,5.607,7.762,10.6,,,,,,,
A,Annual,AGO,Angola,IMF_WEO_PCPIPCH,"Inflation, average consumer prices, Percent change",PC,Percentage change,IMF_WEO,World Economic Outlook (WEO),0,Units,A,Normal value,PU,Public,46.708,1.391,1.833,1.833,1.833,1.833,1.833,1.833,1.833,1.833,1.833,85.265,299.097,1379.48,949.771,2672.23,4146.01,221.492,107.429,248.248,325.029,152.586,108.893,98.219,43.525,22.961,13.305,12.249,12.465,13.721,14.48,13.484,10.285,8.782,7.298,9.159,30.694,29.844,19.629,17.079,22.277,25.765,21.36,13.639,,,,,,
A,Annual,AGO,Angola,IMF_WEO_PCPIPCH,"Inflation, average consumer prices, Percent change",PC,Percentage change,IMF_WEO,World Economic Outlook (WEO),0,Units,F,Forecast value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.004,12.818,8.506,7.442,7.442,7.442
A,Annual,ALB,Albania,IMF_WEO_PCPIPCH,"Inflation, average consumer prices, Percent change",PC,Percentage change,IMF_WEO,World Economic Outlook (WEO),0,Units,A,Normal value,PU,Public,,,,,,,,,,,-0.18,35.717,225.996,85.005,22.565,7.794,12.734,33.167,20.646,0.389,0.039,3.12,5.202,2.363,2.867,2.363,2.37,2.96,3.31,2.231,3.615,3.443,2.036,1.925,1.613,1.868,1.287,1.985,2.029,1.411,1.621,2.043,6.726,,,,,,,
A,Annual,ALB,Albania,IMF_WEO_PCPIPCH,"Inflation, average consumer prices, Percent change",PC,Percentage change,IMF_WEO,World Economic Outlook (WEO),0,Units,F,Forecast value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.769,3.495,2.999,2.957,3.003,3.024,2.999
A,Annual,AND,Andorra,IMF_WEO_PCPIPCH,"Inflation, average consumer prices, Percent change",PC,Percentage change,IMF_WEO,World Economic Outlook (WEO),0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,3.127,3.056,2.906,3.527,3.682,2.659,4.347,-1.217,1.706,2.552,1.467,0.475,-0.096,-1.132,-0.422,2.586,0.996,0.53,0.092,1.677,6.203,5.607,,,,,,
A,Annual,AND,Andorra,IMF_WEO_PCPIPCH,"Inflation, average consumer prices, Percent change",PC,Percentage change,IMF_WEO,World Economic Outlook (WEO),0,Units,F,Forecast value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.266,2.44,2.054,1.7,1.7,1.7
A,Annual,ARE,United Arab Emirates,IMF_WEO_PCPIPCH,"Inflation, average consumer prices, Percent change",PC,Percentage change,IMF_WEO,World Economic Outlook (WEO),0,Units,A,Normal value,PU,Public,10.066,7.946,7.083,1.297,2.433,3.5,5.435,5.498,4.995,2.792,0.604,3.4,6.383,5.273,5.699,4.33,2.976,2.966,1.994,2.1,1.348,2.8,2.918,3.119,5.041,6.195,9.285,11.128,12.258,-4.725,0.879,0.876,0.663,1.104,2.346,4.068,1.619,1.966,3.071,-1.934,-2.076,-0.113,4.827,,,,,,,
